Exception Archive
Fold  0
21 1026822_02_CM.txt 20 20 20 (94, 156) (94, 170) 94 94
22 1019802_02_CM.txt 21 21 21 (155, 156) (155, 170) 155 155
23 1079072_02_CM.txt 22 22 22 (92, 156) (92, 170) 92 92
24 1030372_02_KH.txt 23 23 23 (120, 156) (120, 170) 120 120
25 1020682_02_CM.txt 24 24 24 (147, 156) (147, 170) 147 147
26 1039062_02_KH.txt 25 25 25 (158, 156) (158, 170) 158 158
27 1008192_02_CM.txt 26 26 26 (132, 156) (132, 170) 132 132
28 1000322_02_CM.txt 27 27 27 (137, 156) (137, 170) 137 137
29 1006372_02_KH.txt 28 28 28 (104, 156) (104, 170) 104 104
30 1048582_02_CM.txt 29 29 29 (123, 156) (123, 170) 123 123
31 1086032_02_CM.txt 30 30 30 (122, 156) (122, 170) 122 122
32 1042972_02_KH.txt 31 31 31 (114, 156) (114, 170) 114 114
33 1035422_02_CM.txt 32 32 32 (225, 156) (225, 170) 225 225
34 1078142_02_KH.txt 33 33 33 (96, 156) (96, 170) 96 96
35 1030852_02_CM.txt 34 34 34 (175, 156) (175, 170) 175 175
36 1011422_02_CM.txt 35 35 35 (190, 156) (190, 170) 190 190
37 1036842_02_KH.txt 36 36 36 (133, 156) (133, 170) 133 133
38 1006782_02_CM.txt 37 37 37 (46, 156) (46, 170) 46 46
39 1097512_02_KH.txt 38 38 38 (133, 156) (133, 170) 133 133
40 1033382_02_KH.txt 39 39 39 (124, 156) (124, 170) 124 124
41 1011412_02_CM.txt 40 40 40 (86, 156) (86, 170) 86 86
42 1039282_02_KH.txt 41 41 41 (154, 156) (154, 170) 154 154
44 1016222_02_KH.txt 42 42 42 (122, 156) (122, 170) 122 122
45 1047262_02_CM.txt 43 43 43 (99, 156) (99, 170) 99 99
46 1048132_02_KH.txt 44 44 44 (129, 156) (129, 170) 129 129
47 1056312_02_CM.txt 45 45 45 (119, 156) (119, 170) 119 119
48 1082352_02_KH.txt 46 46 46 (142, 156) (142, 170) 142 142
49 1041852_02_CM.txt 47 47 47 (68, 156) (68, 170) 68 68
50 1069702_02_KH.txt 48 48 48 (166, 156) (166, 170) 166 166
51 1024252_02_KH.txt 49 49 49 (104, 156) (104, 170) 104 104
52 1059892_02_CM.txt 50 50 50 (161, 156) (161, 170) 161 161
